time,delay,data_value,
2021-11-13 23:23:14.878283, 675056, False, 

2021-11-13 23:23:15.538206, 659923, True, 

2021-11-13 23:23:15.673281, 135075, False, 

2021-11-13 23:23:15.792920, 119639, True, 

2021-11-13 23:23:15.928286, 135366, False, 

2021-11-13 23:23:16.137976, 209690, True, 

2021-11-13 23:23:16.588324, 450348, False, 

2021-11-13 23:23:16.722962, 134638, True, 

2021-11-13 23:23:16.798165, 75203, False, 

2021-11-13 23:23:16.903348, 105183, True, 

2021-11-13 23:23:17.157748, 254400, False, 

2021-11-13 23:23:17.278291, 120543, True, 

2021-11-13 23:23:17.353191, 74900, False, 

2021-11-13 23:23:17.923238, 570047, True, 

2021-11-13 23:23:17.983340, 60102, False, 

2021-11-13 23:23:18.088305, 104965, True, 

2021-11-13 23:23:18.313241, 224936, False, 

2021-11-13 23:23:18.463364, 150123, True, 

2021-11-13 23:23:18.508238, 44874, False, 

2021-11-13 23:23:18.643246, 135008, True, 

2021-11-13 23:23:18.688253, 45007, False, 

2021-11-13 23:23:18.808153, 119900, True, 

2021-11-13 23:23:18.883026, 74873, False, 

2021-11-13 23:23:18.987912, 104886, True, 

2021-11-13 23:23:19.047923, 60011, False, 

2021-11-13 23:23:19.168011, 120088, True, 

2021-11-13 23:23:19.242898, 74887, False, 

2021-11-13 23:23:19.377908, 135010, True, 

2021-11-13 23:23:19.452839, 74931, False, 

2021-11-13 23:23:19.557882, 105043, True, 

2021-11-13 23:23:19.603221, 45339, False, 

2021-11-13 23:23:19.707916, 104695, True, 

2021-11-13 23:23:19.767447, 59531, False, 

